id,case_id,window,h_value,h_se,two_h_value,two_h_se,four_h_value,four_h_se,richardson_value,richardson_se,richardson_prime_value,richardson_prime_se,fine_gap_value,fine_gap_se,coarse_gap_value,coarse_gap_se,residual_value,residual_se,b_r
core-PTheta:spatial,core-PTheta,1,2.9938029815457843,0.006312456380665911,2.9951340536414652,0.006313695582102035,2.997798709726697,0.006316221516292174,2.9924719094501033,0.006311224902248817,2.9924693975562335,0.006311201003444601,-0.0013310720956809519,7.090648799806729e-06,-0.002664656085231698,1.429233785709583e-05,2.5118938693502457e-06,1.666249305233915e-05,4.543163174293059e-05
core-PTheta:spatial,core-PTheta,2,2.993250111453705,0.007113521035069201,2.994574033717903,0.00711487394180672,2.997234159497441,0.007117615520935334,2.991926189189507,0.007112176949834363,2.991913907938365,0.007112167836145545,-0.0013239222641980852,8.035571276469296e-06,-0.002660125779538003,1.6118588061267074e-05,1.2281251141832428e-05,1.888016456393549e-05,6.091333228051976e-05
core-VTheta:u_xx,core-VTheta,0,0.6001078930384953,7.516413652673431e-05,0.6001078930384953,7.516413652673431e-05,0.6001078930384952,7.516413652673431e-05,0.6001078930384953,7.516413652673431e-05,0.6001078930384954,7.516413652673428e-05,0.0,0.0,1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16
core-VTheta:u_xx,core-VTheta,1,0.6000082330659594,9.20099613381824e-05,0.6000082330659594,9.20099613381824e-05,0.6000082330659593,9.20099613381824e-05,0.6000082330659594,9.20099613381824e-05,0.6000082330659595,9.20099613381824e-05,0.0,0.0,1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16
core-VTheta:u_xx,core-VTheta,2,0.6000272570333497,0.00010472746007817158,0.6000272570333497,0.00010472746007817158,0.6000272570333496,0.00010472746007817158,0.6000272570333497,0.00010472746007817158,0.6000272570333498,0.00010472746007817155,0.0,0.0,1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16
core-VTheta:speed,core-VTheta,0,2.1842695737268403,0.0005726087169586129,2.187514876210997,0.0005733078421570692,2.194020171498082,0.0005747121260910953,2.1810242712426837,0.0005719117542185608,2.1810095809239116,0.0005719122653807159,-0.0032453024841565536,1.3135863445115192e-06,-0.006505295287085211,2.6366087555380874e-06,1.4690318772991873e-05,2.7771251225574713e-06,2.1843719043161435e-05
core-VTheta:speed,core-VTheta,1,2.1842471031753643,0.0007007507349856812,2.1874932674197494,0.0007016064420600153,2.193995152346489,0.0007033298599188971,2.1810009389309792,0.000699897672151935,2.18099138249301,0.0006998936874279516,-0.0032461642443850636,1.6071493188775573e-06,-0.006501884926739532,3.2300522289339844e-06,9.556437968960552e-06,3.395742798626994e-06,1.8303291776813062e-05
core-VTheta:speed,core-VTheta,2,2.1841079858352157,0.0007968084066285725,2.187353472418993,0.0007977833339367511,2.193856720435778,0.0007997457979274733,2.1808624992514383,0.0007958364903472831,2.1808502244022083,0.0007958329961741583,-0.003245486583777435,1.829416244311545e-06,-0.006503248016784813,3.6744583079085133e-06,1.2274849229498841e-05,3.861883892106616e-06,2.2222402925501695e-05
core-VTheta:spatial,core-VTheta,0,0.510647037994234,0.0011758522276938226,0.5104951979877347,0.0011755084024938575,0.5101978270191544,0.0011748176096007654,0.5107988780007334,0.001176200916518517,0.510792568956315,0.0011762185549231245,0.0001518400064993708,2.416361687428451e-06,0.00029737096858029055,4.8216234911034036e-06,6.309044418340015e-06,5.459631836978602e-06,2.0372124090351033e-05
core-VTheta:spatial,core-VTheta,1,0.510085811343739,0.0015162200050254176,0.5099360296777354,0.001515780610570047,0.5096376270702839,0.0015148951787760103,0.5102355930097425,0.0015166657139756093,0.510234432285187,0.0015166911956454698,0.0001497816660035456,3.1257039763896136e-06,0.00029840260745150893,6.239666140265083e-06,1.160724555693271e-06,7.061642945793279e-06,1.935031138632166e-05
core-VTheta:spatial,core-VTheta,2,0.5097177636369001,0.0017606659566322682,0.5095690415164988,0.001760156965546176,0.509267297523078,0.0017591339276991085,0.5098664857573014,0.0017611823483643478,0.5098707855099197,0.0017612094873247417,0.00014872212040129007,3.645947285874071e-06,0.00030174399342086655,7.278293183174382e-06,-4.2997526180643675e-06,8.227260514199727e-06,2.54917713380685e-05
core-VTheta:v_x,core-VTheta,0,0.3336223715707471,0.00024364804804657468,0.3341293453597463,0.00024378239878375163,0.33514381471085564,0.0002440498819298101,0.33311539778174787,0.0002435142035072804,0.333114876008637,0.0002435169527166083,-0.000506973788999221,3.7592069199183854e-07,-0.0010144693511093261,7.533979084451165e-07,5.21773110939705e-07,9.056059459271298e-07,2.8544594438826425e-06
core-VTheta:v_x,core-VTheta,1,0.33394614338154716,0.0002979524506798357,0.3344535015001949,0.00029811711556248225,0.3354683164694442,0.00029844683400763233,0.3334387852628994,0.000297788405854255,0.33343868653094566,0.00029778988416003703,-0.0005073581186477716,4.601740285042052e-07,-0.001014814969249267,9.215895612306723e-07,9.873195372378518e-08,1.1053149354266057e-06,2.9458345539918465e-06
core-VTheta:v_x,core-VTheta,2,0.3339476875898193,0.00033838880088522984,0.3344551306002708,0.00033857701876258795,0.33547015035637917,0.00033895354981046573,0.3334402445793678,0.0003382012876081697,0.3334401108441625,0.00033820331894901187,-0.0005074430104515248,5.23184909124582e-07,-0.0010150197561083485,1.0484772098854141e-06,1.3373520524329052e-07,1.2562876622226785e-06,3.3697177792219755e-06
core-PVTheta:u_xx,core-PVTheta,0,0.6001887858653702,0.00012759237143200944,0.6001887858653701,0.00012759237143200944,0.6001887858653702,0.00012759237143200944,0.6001887858653703,0.00012759237143200944,0.60018878586537,0.00012759237143200938,1.1102230246251565e-16,1.944581468068823e-12,-1.1102230246251565e-16,0.0,2.220446049250313e-16,3.637978807091713e-12,9.371034461423733e-12
core-PVTheta:u_xx,core-PVTheta,1,0.6002183330265566,0.00015640512359291675,0.6002183330265566,0.00015640512359291675,0.6002183330265566,0.00015640512359291672,0.6002183330265566,0.00015640512359291675,0.6002183330265566,0.00015640512359291678,0.0,1.944581468068823e-12,0.0,0.0,0.0,6.149306534851469e-12,1.5839563968674458e-11
core-PVTheta:u_xx,core-PVTheta,2,0.6000540207126627,0.00017793041121776578,0.6000540207126628,0.00017793041121776578,0.6000540207126627,0.00017793041121776578,0.6000540207126626,0.00017793041121776576,0.6000540207126629,0.00017793041121776578,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,-3.3306690738754696e-16,0.0,3.3306690738754696e-16
