id,case_id,window,h_value,h_se,two_h_value,two_h_se,four_h_value,four_h_se,richardson_value,richardson_se,richardson_prime_value,richardson_prime_se,fine_gap_value,fine_gap_se,coarse_gap_value,coarse_gap_se,residual_value,residual_se,b_r
core-V:v_x,core-V,2,-0.0001640400148156105,0.00034586751711309396,-0.00016441044299681022,0.00034607188829917227,-0.00016477801810867347,0.0003464802768579875,-0.00016366958663441077,0.000345663775949765,-0.00016404286788494697,0.0003456660247419891,3.704281811997231e-07,5.094540467026655e-07,3.6757511186324824e-07,1.0196005609122656e-06,3.7328125053614374e-07,1.2065624625330086e-06,3.481180198031788e-06
core-Theta:u_xx,core-Theta,0,0.5999592914186591,5.858109138698586e-05,0.5999592914186591,5.858109138698586e-05,0.5999592914186591,5.858109138698586e-05,0.5999592914186591,5.858109138698586e-05,0.5999592914186591,5.858109138698586e-05,0.0,0.0,0.0,0.0,0.0,1.7777993977696347e-12,4.579307784519677e-12
core-Theta:u_xx,core-Theta,1,0.5998660362168928,7.172682035813132e-05,0.5998660362168927,7.172682035813132e-05,0.5998660362168928,7.172682035813132e-05,0.5998660362168929,7.172682035813132e-05,0.5998660362168926,7.172682035813134e-05,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,8.888996988848174e-13,2.220446049250313e-16,1.2570940097522691e-12,3.2382816321791344e-12
core-Theta:u_xx,core-Theta,2,0.5998105244410534,8.153513930550893e-05,0.5998105244410534,8.153513930550891e-05,0.5998105244410534,8.153513930550891e-05,0.5998105244410534,8.153513930550891e-05,0.5998105244410534,8.153513930550894e-05,0.0,0.0,0.0,1.2570940097522691e-12,0.0,0.0,0.0
core-Theta:speed,core-Theta,0,3.278871865533083,0.0006114507522797651,3.282672374424918,0.0006119826568430377,3.2902891788148554,0.0006130436750406321,3.275071356641248,0.0006109214093581926,3.2750555700349806,0.0006109318958020573,-0.0038005088918349195,1.359367846138544e-06,-0.007616804389937393,2.718847393051983e-06,1.5786606267553793e-05,3.079982981105139e-06,2.3720116684565696e-05
core-Theta:speed,core-Theta,1,3.279210010261388,0.0007471340307194378,3.2830094702920847,0.0007477882466083802,3.2906270901539347,0.0007490946447346385,3.2754105502306916,0.0007464829476241427,3.2753918504302346,0.000746494398048415,-0.003799460030696533,1.663301102709844e-06,-0.007617619861850056,3.3278789422275617e-06,1.869980045654529e-05,3.763690959242408e-06,2.839442591867991e-05
core-Theta:speed,core-Theta,2,3.278792792773388,0.0008476157677339417,3.2825933925474002,0.0008483622822871387,3.29021136345973,0.000849851449466176,3.2749921929993757,0.00084687281611332,3.2749754216350704,0.0008468873835078927,-0.003800599774012259,1.8906687638855848e-06,-0.007617970912329852,3.7816986738206927e-06,1.6771364306222836e-05,4.278007130038289e-06,2.7790780432357394e-05
core-Theta:spatial,core-Theta,0,1.2728782796851341,0.0022362886698867237,1.2726998133617715,0.002235993418251312,1.2723492944204018,0.002235398114968302,1.2730567460084967,0.002236587258518336,1.2730503323031412,0.0022366020282851323,0.0001784663233626027,2.747844818692412e-06,0.0003505189413697263,5.487823185723525e-06,6.413705355923227e-06,6.607614926625981e-06,2.343379351017043e-05
core-Theta:spatial,core-Theta,1,1.271889604736337,0.002886838919131528,1.2717056096258141,0.00288647673816461,1.2713590708649465,0.0028857456387192527,1.27207359984686,0.002887205435359629,1.2720521483866818,0.0028872251435238887,0.0001839951105229165,3.5563963955424565e-06,0.000346538760867654,7.106365205972901e-06,2.1451460178179005e-05,8.561372233328772e-06,4.35040936549585e-05
core-Theta:spatial,core-Theta,2,1.2701884021311256,0.003350735625354111,1.2700022413331287,0.0033503394937040936,1.2696550505533681,0.00334955765637923,1.2703745629291225,0.003351136838518705,1.2703494321128892,0.0033511416120609473,0.00018616079799693708,4.145570895134789e-06,0.00034719077976053114,8.28104306115058e-06,2.5130816233120967e-05,9.983795378015326e-06,5.08473689279607e-05
core-Theta:v_x,core-Theta,0,0.6005008747513092,0.0002733339571441193,0.6010861684602445,0.0002733618637987345,0.6022565862120622,0.00027341807385335083,0.5999155810423739,0.0002733066057737934,0.5999157507084268,0.00027330787214538844,-0.0005852937089353416,3.9056560467990644e-07,-0.0011704177518176984,7.806815230037481e-07,-1.696660532068961e-07,9.992566511867063e-07,2.743580617050892e-06
core-Theta:v_x,core-Theta,1,0.6007740291763872,0.0003328508579923803,0.6013595882240897,0.00033288757155078904,0.602530293214029,0.0003329620174563707,0.6001884701286847,0.0003328148246158583,0.6001888832341505,0.00033281584566646766,-0.0005855590477025219,4.772025454536359e-07,-0.0011707049899392086,9.543608696812326e-07,-4.1310546583517294e-07,1.2180328361134812e-06,3.5505501377214906e-06
core-Theta:v_x,core-Theta,2,0.6007180149216709,0.0003768602576821854,0.601303329049734,0.0003769053211837408,0.6024734418625556,0.00037699478679574055,0.6001327007936077,0.00037681596826065825,0.6001332162369125,0.00037681894659005234,-0.0005853141280631746,5.419558422273456e-07,-0.0011701128128215332,1.0829374785586653e-06,-5.154433048160101e-07,1.380237936175587e-06,4.07070062661945e-06
core-PV:u_xx,core-PV,0,0.5000972979189213,0.0001413924963232322,0.5000972979189212,0.0001413924963232322,0.5000972979189214,0.0001413924963232322,0.5000972979189214,0.00014139249632323214,0.500097297918921,0.0001413924963232322,1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16
core-PV:u_xx,core-PV,1,0.5000575721424727,0.00017324006035505864,0.5000575721424726,0.00017324006035505859,0.5000575721424728,0.00017324006035505864,0.5000575721424728,0.00017324006035505859,0.5000575721424724,0.00017324006035505853,1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16
